,signal_001,signal_002,signal_003,signal_004,signal_005,signal_006,signal_007,signal_008,signal_009,signal_010,signal_011,signal_012,signal_013,signal_014
00:00:31,1.405277967,28.77020073,0.504577518,0.504577518,1.707571983,2.79377389,154.7093048,18.21866035,24.64221001,0.5,0.005486993,0.0,996.7280884,0.0
00:00:32,1.43770802,28.77032089,0.50459671,0.50459671,1.709936976,2.401437998,154.0559998,18.21866035,24.64105034,0.5,0.005550059,0.0,996.7282715,0.000288582
00:00:33,1.412122965,28.77042961,0.504615784,0.504615784,1.706236959,2.00910306,153.2691956,18.21866035,24.63987923,0.5,0.005613124,0.0,996.7285156,0.000648957
00:00:34,1.396345973,28.77054977,0.504586279,0.504586279,1.69867599,1.616767049,152.8592072,18.21866035,24.63871956,0.5,0.00567619,0.0,996.7286987,0.001009332
00:00:35,1.451745987,28.77066994,0.504556775,0.504556775,1.706418037,9.27191925,152.7637939,18.21866989,24.63755989,0.5,0.005739256,0.0,996.7288818,0.0
00:00:36,1.438179016,28.77078056,0.504527271,0.504527271,1.705214024,7.726599216,152.7733002,18.21866989,24.63639069,0.5,0.005802321,0.0,996.729126,0.0
00:00:37,1.457350016,28.77090073,0.504497826,0.504497826,1.709813952,6.438833237,152.8401031,18.21866989,24.63522911,0.5,0.005865387,0.0,996.729187,0.0
00:00:38,1.491662979,28.77102089,0.504468322,0.504468322,1.71696806,5.455122948,153.2073059,18.21866989,24.63406944,0.5,0.005928453,0.0,996.7293701,0.0
00:00:39,1.477262974,28.77113914,0.504438818,0.504438818,1.715922952,4.471412182,153.4981995,18.21866989,24.63290024,0.5,0.005991518,0.0,996.7296143,0.001009332
00:00:40,1.466747046,28.77124977,0.504409313,0.504409313,1.714877963,3.78828001,153.7890015,18.21866989,24.63174057,0.5,0.006054584,0.0,996.7299194,0.006054584
00:00:41,1.44551599,28.77136993,0.504379809,0.504379809,1.716351032,3.105146885,153.4122925,18.21866989,24.75741005,0.5,0.005739256,0.0,996.7299805,0.0
00:00:42,1.402598977,28.7714901,0.504350305,0.504350305,1.71202004,2.669085026,152.9402008,18.21867943,24.75741005,0.5,0.005423928,0.0,996.7302246,0.0
00:00:43,1.412475944,28.77160072,0.5043208,0.5043208,1.710705996,2.233021975,152.716095,18.21867943,24.75741005,0.5,0.005108599,0.0,996.7304077,0.0
00:00:44,1.436462045,28.77172089,0.504291296,0.504291296,1.705235004,1.796959996,152.5205994,18.21867943,24.75741005,0.5,0.004793271,0.0,996.7305908,0.0
00:00:45,1.429131031,28.77183914,0.504261792,0.504261792,1.693663001,5.255601883,152.363205,18.21867943,24.75741005,0.5,0.004477943,0.0,996.7307739,0.0
00:00:46,1.393918991,28.77066994,0.504232287,0.504232287,1.693271041,4.452662945,151.9817963,18.21867943,24.66315079,0.5,0.004162614,0.0,996.7310181,0.0
00:00:47,1.417629004,28.76950073,0.504202783,0.504202783,1.692878962,3.649724007,151.7386017,18.21867943,24.66315079,0.5,0.003847286,0.0,996.7310791,0.0
00:00:48,1.436993957,28.76832962,0.504173279,0.504173279,1.70460403,3.041435957,151.6289063,18.21869087,24.66315079,0.5,0.003531958,0.0,996.7313232,0.0
00:00:49,1.483206987,28.76716042,0.504143775,0.504143775,1.718412042,9.180980682,151.3285065,18.21869087,24.66315079,0.5,0.00321663,0.0,996.7315063,0.001009332
00:00:50,1.45687902,28.7659893,0.50411427,0.50411427,1.720324039,7.650816917,150.9326935,18.21869087,24.66315079,0.5,0.002901301,0.0,996.7316895,0.004613084
00:00:51,1.491899967,28.7648201,0.504084826,0.504084826,1.722236037,6.37567997,150.6275024,18.21869087,24.73102951,0.5,0.002585973,0.0,996.7318726,0.0
00:00:52,1.496500969,28.76365089,0.504055321,0.504055321,1.727460027,5.401618004,150.4320068,18.21869087,24.72254944,0.5,0.002270645,0.0,996.7321167,0.0
00:00:53,1.493370056,28.76247978,0.504025817,0.504025817,1.727952957,4.427556038,150.3175964,18.21869087,24.71405983,0.5,0.001955317,0.0,996.7322998,0.0
00:00:54,1.453649044,28.76131058,0.503996313,0.503996313,1.721204996,3.751122952,150.1078033,18.21869087,24.70557022,0.5,0.001639989,0.0,996.7324829,0.0
00:00:55,1.413928032,28.76013947,0.503966689,0.503966689,1.724478006,3.074691057,150.1029968,18.21869087,24.69709015,0.5,0.00132466,0.0,996.7327271,0.0
00:00:56,1.424208999,28.75897026,0.503937185,0.503937185,1.720734,2.60494709,149.9790039,18.21869087,24.68861008,0.5,0.001009332,0.0,996.7327881,0.0
00:00:57,1.388234973,28.75779915,0.5039078,0.5039078,1.712584972,2.135201931,149.9337006,18.21870041,24.68012047,0.5,0.000694004,0.0,996.7329712,0.000288582
00:00:58,1.423614025,28.75662994,0.503878295,0.503878295,1.706832051,2.350364923,149.8883972,18.21870041,24.67163086,0.5,0.000378675,0.0,996.7332153,0.000288582
00:00:59,1.464097977,28.75546074,0.503848791,0.503848791,1.706037998,2.020298004,149.7310944,18.21870041,24.66315079,0.5,6.33e-05,0.0,996.7333984,0.000288582
00:01:00,1.424715996,28.75428963,0.503819287,0.503819287,1.705242991,1.690232038,149.5402985,18.21870041,24.7888298,0.5,-0.000251981,0.0,996.7335815,0.000288582
00:01:01,1.471063018,28.75312042,0.503789783,0.503789783,1.70866704,1.360165,149.3495941,18.21870041,24.7888298,0.5,-0.000567309,0.0,996.7338257,0.000288582
00:01:02,1.406779051,28.75194931,0.503760278,0.503760278,1.707491994,1.197456002,149.1587982,18.21870041,24.7888298,0.5,-0.000882638,0.0,996.7340088,0.000288582
00:01:03,1.463534951,28.75078011,0.503730774,0.503730774,1.712185979,1.034747005,148.9394989,18.21870041,24.7888298,0.5,-0.001197966,0.0,996.7341919,0.000288582
00:01:04,1.442790985,28.7496109,0.503701329,0.503701329,1.719159007,0.872037828,148.8583984,18.21870995,24.7888298,0.5,-0.001513294,0.0,996.734375,0.000288582
00:01:05,1.46755898,28.74843979,0.503671825,0.503671825,1.714391947,0.709328771,148.8059998,18.21870995,24.69457054,0.5,-0.001828622,0.0,996.7346191,0.000288582
00:01:06,1.476760983,28.74727058,0.503642321,0.503642321,1.714769006,0.546619713,148.6676941,18.21870995,24.69457054,0.5,-0.00214395,0.0,996.7346802,0.000769082
00:01:07,1.440157056,28.74609947,0.503612816,0.503612816,1.711025,0.500785887,148.553299,18.21870995,24.69457054,0.5,-0.002459279,0.0,996.7349243,0.001249582
00:01:08,1.447546959,28.74493027,0.503583312,0.503583312,1.711025,0.45495221,148.4817047,18.21870995,24.69457054,0.5,-0.002774607,0.0,996.7351074,0.001730082
00:01:09,1.393666983,28.74375916,0.503553689,0.503553689,1.702718019,0.409118414,148.3578033,18.21870995,24.69457054,0.5,-0.003089935,0.0,996.7352905,0.001249582
00:01:10,1.413105965,28.74258995,0.503524184,0.503524184,1.697006941,0.363284707,148.2337952,18.21870995,24.69457054,0.5,-0.003405263,0.0,996.7354736,0.000769082
00:01:11,1.424489021,28.74142075,0.50349468,0.50349468,1.695040941,0.317450911,148.1764984,18.21871948,24.69457054,0.5,-0.003720592,0.0,996.7357178,0.000288582
00:01:12,1.377689004,28.74024963,0.503465176,0.503465176,1.686674953,0.271617115,148.033493,18.21871948,24.69457054,0.5,-0.00403592,0.0,996.7359009,0.0
00:01:13,1.423953056,28.73908043,0.503435791,0.503435791,1.685245991,0.225783393,147.8903961,18.21871948,24.69457054,0.5,-0.001333106,0.0,996.736084,0.0
00:01:14,1.446778059,28.73790932,0.503406286,0.503406286,1.690201998,0.179949597,147.747406,18.21871948,24.50606918,0.5,0.001369707,0.0,996.7363281,0.0
00:01:15,1.442091942,28.73674011,0.503376782,0.503376782,1.704342961,0.134115905,147.5805054,18.21871948,24.50606918,0.5,0.00407252,0.0,996.7365112,0.002450833
